,BRAND,PRODUCT_NAME,COLOR,MEMORY,STAR_RATING,RATINGS,REVIEWS,RAM,BATTERY_C,SCREEN_SIZE,WARRANTY,OFFER_PRICE,DISCOUNT,MRP
59,Nokia, 105 SS,,,4.3,"61,000","6,015",,800,1.77,1,1095,12% off,1249
60,Nokia, 105 SS,,,4.3,"61,000","6,015",,800,1.77,1,1097,12% off,1249
61,OPPO," F11 Pro (Thunder Black, 64 GB)",Thunder Black,64,4.4,"1,11,046","10,763",6,4000,6.5,1,16990,41% off,28990
62,Vivo," U10 (Electric Blue, 64 GB)",Electric Blue,64,4.4,"12,671","1,009",3,5000,6.35,1,10490,12% off,11990
63,Realme," XT (Pearl Blue, 64 GB)",Pearl Blue,64,4.5,"96,570","11,209",4,4000,6.4,,16999,0 % off,16999
64,Motorola," One Macro (Space Blue, 64 GB)",Space Blue,64,4.3,"15,594","1,562",4,4000,6.2,1,9499,20% off,11999
65,Micromax, X412,,,4,"5,129",,,800,1.77,,690,53% off,1499
66,Lava, A1,,,4.1,"9,481",,,800,1.77,,840,23% off,1099
67,Redmi," Note 7 Pro (Neptune Blue, 128 GB)",Neptune Blue,128,4.5,"2,54,287","21,628",6,4000,6.3,1,13999,22% off,17999
68,Micromax, X807,,,4.1,"1,934",,,1450,2.8,,1093,56% off,2499
69,Realme," 5s (Crystal Red, 128 GB)",Crystal Red,128,4.4,"2,23,066","20,567",4,5000,6.5,1,11999,7% off,12999
70,Infinix," S5 Lite (Midnight Black, 64 GB)",Midnight Black,64,4.3,"33,216","3,686",4,4000,6.6,1,8499,15% off,9999
71,Redmi," Note 7 Pro (Neptune Blue, 64 GB)",Neptune Blue,64,4.5,"2,54,287","21,628",6,4000,6.3,1,12999,23% off,16999
72,Samsung," Galaxy M30s (Black, 64 GB)",Black,64,4.4,"2,332",,4,6000,6.4,1,14073,9% off,15500
73,I," Kall K3 (Red, 16 GB)",Red,16,3.4,"1,527",,2,3000,6.26,1,4499,35% off,6999
74,Redmi," 8A (Midnight Black, 32 GB)",Midnight Black,32,4.4,"1,09,434","8,983",3,5000,6.22,1,7499,16% off,8999
75,Honor," 20i (Midnight Black, 128 GB)",Midnight Black,128,4.3,"23,984","2,403",4,3400,6.21,1,10999,35% off,16999
76,POCO," X2 (Matrix Purple, 128 GB)",Matrix Purple,128,4.6,"35,421","4,421",6,4500,6.67,1,17999,5% off,18999
77,OPPO," A31 (Fantasy White, 64 GB)",Fantasy White,64,4.4,,,4,4230,6.5,1,11390,12% off,12990
78,Panasonic," Eluga Ray 610 (Black, 32 GB)",Black,32,4.2,"2,276",,3,4010,6.22,,6799,0 % off,6799
79,Redmi," Note 7S (Onyx Black, 64 GB)",Onyx Black,64,4.4,"3,89,062","32,753",4,4000,6.3,1,11999,14% off,13999
80,Apple," iPhone 11 (White, 128 GB)",White,128,4.7,"10,800",,,0,6.1,1,73600,0 % off,73600
81,Tecno," Spark Go Plus (Vacation Blue, 32 GB)",Vacation Blue,32,4.3,,,2,4000,6.52,,7299,2% off,7499
82,Gionee," F9 (Blue, 32 GB)",Blue,32,4.1,"6,802",,3,3520,5.71,1,5499,30% off,7900
83,Gionee," F9 (Black, 32 GB)",Black,32,4.1,"6,802",,3,3520,5.71,1,5499,30% off,7900
84,Kechaoda, K66 Plus,,,4.1,"13,884","1,288",,400,1.8,1,949,0 % off,949
