,BRAND,PRODUCT_NAME,COLOR,MEMORY,STAR_RATING,RATINGS,REVIEWS,RAM,BATTERY_C,SCREEN_SIZE,WARRANTY,OFFER_PRICE,DISCOUNT,MRP
195,Kechaoda, K10,No Color,0,4.0,4686,0,0.0,300.0,0.66,1.0,999,0 % off,999
196,Kechaoda, K10,No Color,0,4.0,4686,0,0.0,300.0,0.66,1.0,999,0 % off,999
197,Infinix," Note 5 (Milan Black, 64 GB)",Milan Black,64,4.2,6598,0,4.0,4500.0,5.99,1.0,7699,40% off,12999
198,Infinix," Note 5 (Berlin Gray, 64 GB)",Berlin Gray,64,4.2,6598,0,4.0,4500.0,5.99,1.0,7699,40% off,12999
199,Tecno," Spark 4 Air (Polar Blue, 32 GB)",Polar Blue,32,4.2,0,0,3.0,3000.0,6.1,1.0,7290,0 % off,7290
200,Vivo," V15 (Frozen Black, 64 GB)",Frozen Black,64,4.4,34304,2904,6.0,4000.0,6.53,1.0,17799,0 % off,17799
201,Lava, 34 Plus,No Color,0,4.3,0,0,0.0,2500.0,2.4,1.0,1599,7% off,1729
202,Micromax, X516,No Color,0,4.0,3024,0,0.0,1750.0,1.77,1.0,777,61% off,1999
203,Moto," G8 Plus (Crystal Pink, 64 GB)",Crystal Pink,64,4.3,6364,0,4.0,4000.0,6.3,1.0,12999,18% off,15999
204,Apple," iPhone XS (Space Grey, 64 GB)",Space Grey,64,4.7,8367,0,0.0,0.0,5.8,1.0,62999,29% off,89900
205,Kechaoda, K115,No Color,0,4.1,3530,0,0.0,850.0,1.44,1.0,870,12% off,870
206,Redmi," Note 8 (Cosmic Purple, 64 GB)",Cosmic Purple,64,4.4,10252,0,4.0,4000.0,6.3,1.0,12199,6% off,12999
207,OnePlus," 7 (Red, 256 GB)",Red,256,4.6,1245,0,8.0,3700.0,6.41,1.0,32899,0 % off,32899
208,OnePlus," 7 (Mirror Blue, 128 GB)",Mirror Blue,128,4.6,2888,0,6.0,3700.0,6.41,1.0,29999,9% off,32999
209,Kechaoda, K112,No Color,0,4.0,3846,0,0.0,3600.0,2.4,1.0,1150,23% off,1499
210,Apple," iPhone 11 (Green, 64 GB)",Green,64,4.7,10800,0,0.0,0.0,6.1,1.0,68300,0 % off,68300
211,Intex, Eco 111,No Color,0,3.9,0,0,0.0,1050.0,1.8,1.0,799,0 % off,799
212,Apple," iPhone XR (Blue, 64 GB)",Blue,64,4.6,8780,0,0.0,0.0,6.1,1.0,52500,0 % off,52500
213,Karbonn, K-Pebble,No Color,0,3.9,0,0,0.0,800.0,2.4,1.0,1299,23% off,1690
214,I, Kall K66 Combo Of Two Mobile,No Color,0,3.5,5358,0,0.0,1000.0,1.8,1.0,1199,20% off,1499
215,Lava, 34 Plus,No Color,0,4.3,0,0,0.0,2500.0,2.4,1.0,1399,26% off,1899
216,Nokia, 105,No Color,0,4.0,23435,2258,0.0,850.0,1.4,1.0,1099,12% off,1249
217,Micromax, X742,No Color,0,3.8,4381,0,0.0,1000.0,2.4,1.0,899,35% off,1399
218,Kechaoda, K115,No Color,0,4.1,8743,0,0.0,850.0,1.44,1.0,880,0 % off,880
219,Kechaoda, K115,No Color,0,4.1,8743,0,0.0,850.0,1.44,1.0,880,41% off,1499
220,Kechaoda, K115,No Color,0,4.1,8743,0,0.0,850.0,1.44,1.0,880,41% off,1499
221,Micromax," Smarty 4.0 (White, 2 GB)",White,2,4.3,0,0,0.0,1600.0,4.025985185185214,1.0,6599,0 % off,6599
222,Micromax," Superfone Ninja2 A56 (Blue, 150 MB)",Blue,0,4.0,0,0,0.0,1400.0,3.5,1.0,6199,0 % off,6199
223,Karbonn, K9 Staar,No Color,0,3.8,5823,0,0.0,1000.0,2.4,1.0,899,32% off,1340
224,Redmi," K20 Pro (Flame Red, 128 GB)",Flame Red,128,4.5,53383,6731,6.0,4000.0,6.39,1.0,26999,6% off,28999
225,iQOO," 3 (5G) (Tornado Black, 256 GB)",5G) (Tornado Black,256,4.5,0,0,12.0,4440.0,6.44,1.0,46990,0 % off,46990
226,Lenovo," Z2 Plus (Black, 64 GB)",Black,64,3.8,4261,0,4.0,3500.0,4.025985185185214,1.0,8999,20% off,11290
227,Apple," iPhone XS (Silver, 64 GB)",Silver,64,4.7,8367,0,0.0,0.0,5.8,1.0,62999,29% off,89900
228,OPPO," A3s (Purple, 32 GB)",Purple,32,4.3,24679,1946,3.0,4230.0,6.2,1.0,8990,35% off,13990
229,Samsung," Galaxy A50 (Blue, 64 GB)",Blue,64,4.3,53584,5085,4.0,4000.0,6.4,1.0,15899,24% off,21000
230,Coolpad," Cool 3 (Midnight Blue, 64 GB)",Midnight Blue,64,3.6,0,0,4.0,3000.0,5.7,1.0,6890,23% off,8999
231,Lava, Discover 136S,No Color,0,3.4,0,0,0.0,1000.0,3.5,1.0,2700,0 % off,2700
232,Realme," X (Polar White, 128 GB)",Polar White,128,4.5,93093,12347,4.0,3765.0,6.53,1.0,17999,0 % off,17999
233,Lenovo," K9 Note (Black, 64 GB)",Black,64,4.1,1308,0,4.0,3760.0,5.99,1.0,7499,37% off,11999
234,Lava, A1200,No Color,0,4.2,0,0,0.0,1750.0,1.8,1.0,1199,4% off,1250
235,Asus," ZenFone Max M2 (Blue, 64 GB)",Blue,64,4.3,24208,2482,4.0,4000.0,6.26,1.0,8999,40% off,14999
236,Lenovo," K9 (Black, 32 GB)",Black,32,4.2,15740,1706,3.0,3000.0,5.7,1.0,6499,35% off,9999
237,I, Kall K2180,No Color,0,3.7,9579,1136,0.0,1000.0,1.8,1.0,649,0 % off,649
238,Micromax, X746,No Color,0,4.0,4182,0,0.0,3000.0,2.4,1.0,1099,56% off,2499
239,Redmi," Go (Black, 16 GB)",Black,16,4.3,154798,12754,1.0,3000.0,4.025985185185214,1.0,4999,16% off,5999
240,Samsung," Galaxy S10 Lite (Prism Black, 128 GB)",Prism Black,128,4.5,4920,1423,8.0,4500.0,6.7,1.0,42099,4% off,43999
241,Asus," ZenFone Max M2 (Blue, 32 GB)",Blue,32,4.3,98675,11987,3.0,4000.0,6.26,1.0,7499,42% off,12999
242,Redmi," 7 (Comet Blue, 32 GB)",Comet Blue,32,4.3,12832,1004,2.0,4000.0,6.26,1.0,7995,20% off,9999
243,Samsung," Galaxy A30 (Black, 64 GB)",Black,64,4.4,16919,1401,4.0,4000.0,6.4,1.0,14799,17% off,18000
244,I, Kall K 30,No Color,0,3.7,0,0,0.0,1000.0,2.4,1.0,799,0 % off,799
245,Vivo," V9 Youth (Black, 32 GB)",Black,32,4.4,26642,2923,4.0,3260.0,6.3,1.0,16990,15% off,19990
246,Micromax," Spark Go (Silver, 8 GB)",Silver,8,4.0,17338,1542,1.0,2000.0,4.025985185185214,1.0,3299,34% off,4999
247,Fox, Bolt FX241,No Color,0,3.7,2720,0,0.0,1800.0,2.4,1.0,959,0 % off,959
248,Asus," ZenFone Max M1 (Gold, 32 GB)",Gold,32,4.1,137006,16581,3.0,4000.0,5.45,1.0,5999,37% off,9599
249,Realme," C2 (Diamond Black, 16 GB)",Diamond Black,16,4.4,731211,63035,2.0,4000.0,6.1,1.0,6499,7% off,6999
250,Itel, Muzik 400,No Color,0,4.1,0,0,0.0,3000.0,2.4,1.0,1270,19% off,1569
251,Fox, Champ FX240,No Color,0,3.6,2226,0,0.0,1800.0,2.4,1.0,899,0 % off,899
252,I, Kall K24,No Color,0,3.3,3526,0,0.0,1000.0,1.8,1.0,599,0 % off,599
253,Kechaoda, A26,No Color,0,4.1,2702,0,0.0,800.0,0.66,1.0,925,0 % off,925
254,POCO," X2 (Atlantis Blue, 64 GB)",Atlantis Blue,64,4.6,35421,4421,6.0,4500.0,6.67,1.0,16999,5% off,17999
255,I, Kall K72,No Color,0,3.5,2963,0,0.0,800.0,1.8,1.0,570,18% off,570
256,OPPO," A3s (Red, 64 GB)",Red,64,4.3,16361,1319,4.0,4230.0,6.2,1.0,10599,24% off,13990
257,Vivo," V15 Pro (Topaz Blue, 128 GB)",Topaz Blue,128,4.5,28439,2666,6.0,3700.0,6.39,1.0,21099,36% off,32990
258,Panasonic," P77 (Grey, 16 GB)",Grey,16,3.7,7221,1137,1.0,2000.0,4.025985185185214,1.0,6990,0 % off,6990
259,Kechaoda, K116 Plus,No Color,0,4.0,2617,0,0.0,400.0,1.77,1.0,885,0 % off,885
